,R.cornutus,R.ferrumequinum,R.shameli,R.pearsonii,R.pusillus,R.macrotis,R.affinis,R.sinicus,R.alcyone,R.landeri,R.thomasi,R.sp,Raccoon dog,Raccoon,Civet,Pangolin,Human
RsSHC014,140,40,50,62.5,370,97.5,13213.5,162.5,18415,14268.5,29995,50,25447.5,250,36792.5,3518,13083.75
WIV16,292.525,27.5,2317.5,122.5,247.5,1475,36387.5,181700,47832.5,36040,161200,50,134850,82.5,79490,26877.5,107895
YN2020H,127.5,55,65,37.5,100,170,1720,347.5,2082.5,2155.25,2850.25,55,2322.75,102.5,9397.25,385,1482.5
BtRs-BetaCoV/YN2020-Q325,105,57.5,60,62.5,115,352.5,3538.25,215,1692.5,4516.5,11917.5,50,2748,105,14451.25,175,3091
Rs7327,50,57.5,50,47.5,70,97.5,2522.75,4779,1655.25,55,9500,37.5,4831.25,35,122.5,545,9273.75
RsYN2016A,52.5,37.5,42.5,32.5,45,30,2653,2303,1517.5,37.5,3723.5,47.5,4171,32.5,95,1640.25,7608
Civet007,30,37.5,35,45,37.5,32.5,26072.5,57.5,192.5,40,262.5,35,2705.5,515,78367.5,100,20842.5
SARS-CoV,980,45,185,197.5,507.5,2712.75,172950,8232.25,600025,984700,1009525,42.5,849000,11998.25,501750,243425,641100
LYRa11,45,47.5,65,45,477.5,52.5,3836,512.5,1425.25,110,5972,40,16698.75,37.5,335,2807.75,6903.5
WIV1,965,580.025,18715,80,1775,6562.5,78765,1008325,251900,233150,352550,447.5,274750,47.5,203875,48047.5,181775
RShSTT200,52.5,70,482.5,42.5,50,307.5,937.5,197.5,70,57.5,77.5,50,95,220,240,47.5,75
BANAL-20-52,33725,52235,52067.5,967.525,17123.75,255150,33572.5,289550,80577.5,31000,81575,19397.5,120500,45,35072.5,30187.5,96425
BANAL-20-236,29090,56220,3853.5,4479,118615,39862.5,21762.5,44775,32612.5,22842.5,53145,14175.5,54422.5,1760.25,48342.5,18877.5,32460
RaTG13,1470.25,62.5,57.5,95,212.5,65,6594.75,687.5,15660,1295,355,55,5474.25,35,165,100,5719.75
Rc-o319,5639.25,42.5,37.5,27.5,1377.75,50,925,42.5,82.5,60,105,40,40,52.5,32.5,32.5,37.5
